,Image Name,ratio
309,32.pdf_Page 2.jpg_in_logo_engie.png,0.0
310,32.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
311,32.pdf_Page 2.jpg_in_logo_free.png,0.0
312,32.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
313,32.pdf_Page 2.jpg_in_logo_lcl.png,0.0
314,32.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.0
315,32.pdf_Page 2.jpg_in_logo_orange.png,0.0
316,32.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
317,32.pdf_Page 2.jpg_in_logo_sfr.png,0.0
318,32.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
319,32.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
320,4.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
321,4.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
322,4.pdf_Page 1.jpg_in_logo_EDF.png,0.0
323,4.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.06
324,4.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
325,4.pdf_Page 1.jpg_in_logo_engie.png,0.0
326,4.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
327,4.pdf_Page 1.jpg_in_logo_free.png,0.0
328,4.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
329,4.pdf_Page 1.jpg_in_logo_lcl.png,0.0
330,4.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
331,4.pdf_Page 1.jpg_in_logo_orange.png,0.0
332,4.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
333,4.pdf_Page 1.jpg_in_logo_sfr.png,0.0
334,4.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
335,4.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
336,4.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.0
337,4.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
338,4.pdf_Page 2.jpg_in_logo_EDF.png,0.0
